title,year,Ratings,Directors,cast,genre
The Host,2006,93,Bong Joon-ho,"Song Kang-ho , Byun Hee-bong , Park Hae-il , Bae Doo-na",Horror
The Cat and the Canary,1927,95,Paul Leni,"Laura La Plante , Creighton Hale , Forrest Stanley , Tully Marshall",Horror
Train to Busan,2016,94,Yeon Sang-ho,"Gong Yoo , Jung Yu-mi , Ma Dong-seok , Choi Woo-sik",Horror
Island of Lost Souls,1933,88,Erle C. Kenton,"Charles Laughton , Bela Lugosi , Richard Arlen , Leila Hyams",Horror
Revenge,2017,93,Coralie Fargeat,"Matilda Lutz , Kevin Janssens , Vincent Colombe , Guillaume Bouchède",Horror
Suspiria,1977,93,Dario Argento,"Jessica Harper , Stefania Casini , Joan Bennett , Eva Axén",Horror
The Ring,1998,98,Hideo Nakata,"Nanako Matsushima , Hiroyuki Sanada , Miki Nakatani , Yuko Takeuchi",Horror
I Walked With a Zombie,1943,85,Jacques Tourneur,"James Ellison , Frances Dee , Tom Conway , Edith Barrett",Horror
The Love Witch,2016,95,Anna Biller,"Samantha Robinson , Gian Keys , Laura Waddell , Jeffrey Vincent Parise",Horror
Harpoon,2019,97,Rob Grant,"Munro Chambers , Emily Tyra , Christopher Gray",Horror
Invasion of the Body Snatchers,1978,92,Philip Kaufman,"Donald Sutherland , Brooke Adams , Leonard Nimoy , Veronica Cartwright",Horror
The Innocents,1961,95,Jack Clayton,"Deborah Kerr , Martin Stephens , Pamela Franklin , Michael Redgrave",Horror
The Loved Ones,2009,98,Sean Byrne,"Xavier Samuel , Robin McLeavy , Jessica McNamee , Victoria Thaine",Horror
Evil Dead 2,1987,95,Sam Raimi,"Bruce Campbell , Sarah Berry , Dan Hicks , Denise Bixler",Horror
Raw,2016,93,Julia Ducournau,"Garance Marillier , Ella Rumpf , Rabah Nait Oufella , Laurent Lucas",Horror
The Evil Dead,1981,95,Sam Raimi,"Bruce Campbell , Ellen Sandweiss , Betsy Baker , Hal Delrich",Horror
La llorona,2019,96,Jayro Bustamante,"María Mercedes Coroy , Sabrina De La Hoz , Margarita Kénefic , Julio Diaz",Horror
Nosferatu,1979,95,Werner Herzog,"Klaus Kinski , Isabelle Adjani , Bruno Ganz , Roland Topor",Horror
Creep 2,2017,100,Patrick Brice,"Mark Duplass , Karan Soni , Patrick Brice , Desiree Akhavan",Horror
Green Room,2015,90,Jeremy Saulnier,"Anton Yelchin , Imogen Poots , Alia Shawkat , Joe Cole",Horror
Carrie,1976,93,Brian De Palma,"Sissy Spacek , Piper Laurie , William Katt , Amy Irving",Horror
Midsommar,2019,83,Ari Aster,"Florence Pugh , Jack Reynor , William Jackson Harper , Will Poulter",Horror
The Fly,1958,95,Kurt Neumann,"Al Hedison , Patricia Owens , Vincent Price , Herbert Marshall",Horror
House of Wax,1953,93,Andre de Toth,"Vincent Price , Frank Lovejoy , Phyllis Kirk , Carolyn Jones",Horror
Drag Me to Hell,2009,92,Sam Raimi,"Alison Lohman , Justin Long , Lorna Raver , Dileep Rao",Horror
A Girl Walks Home Alone at Night,2014,96,Ana Lily Amirpour,"Sheila Vand , Arash Marandi , Marshall Manesh , Mozhan Marnò",Horror
His House,2020,100,Remi Weekes,"Wunmi Mosaku , Sope Dirisu , Matt Smith , Cornell John",Horror
Ready or Not,2019,88,Matt Bettinelli-Olpin,"Samara Weaving , Adam Brody , Mark O'Brien , Henry Czerny",Horror
Tigers Are Not Afraid,2017,97,Issa López,"Paola Lara , Ianis Guerrero , Rodrigo Cortés , Hanssel Casillas",Horror
Mandy,2018,90,Panos Cosmatos,"Nicolas Cage , Andrea Riseborough , Linus Roache , Ned Dennehy",Horror
It,2017,86,Andy Muschietti,"Jaeden Lieberher , Jeremy Ray Taylor , Sophia Lillis , Finn Wolfhard",Horror
Don't Look Now,1973,94,Nicolas Roeg,"Julie Christie , Donald Sutherland , Hilary Mason , Clelia Matania",Horror
Cat People,1942,91,Jacques Tourneur,"Simone Simon , Kent Smith , Tom Conway , Jane Randolph",Horror
The Birds,1963,94,Alfred Hitchcock,"Rod Taylor , Tippi Hedren , Suzanne Pleshette , Jessica Tandy",Horror
The Wailing,2016,99,Na Hong-jin,"Kwak Do-won , Kunimura Jun , Hwang Jung-min , Chun Woo-hee",Horror
Dead of Night,1945,93,Cavalcanti,"Mervyn Johns , Michael Redgrave , Roland Culver , Mary Merrall",Horror
Under the Shadow,2016,99,Babak Anvari,"Narges Rashidi , Avin Manshadi , Bobby Naderi , Ray Haratian",Horror
Host,2020,100,Rob Savage,"Haley Bishop , Jemma Moore , Emma Louise Webb , Radina Drandova",Horror
10 Cloverfield Lane,2016,90,Dan Trachtenberg,"John Goodman , Mary Elizabeth Winstead , John Gallagher Jr. , Douglas M. Griffin",Horror
Peeping Tom,1960,95,Michael Powell,"Carl Boehm , Moira Shearer , Anna Massey , Maxine Audley",Horror
The Witch,2015,90,Robert Eggers,"Anya Taylor-Joy , Ralph Ineson , Kate Dickie , Harvey Scrimshaw",Horror
The Cabin in the Woods,2011,92,Drew Goddard,"Kristen Connolly , Chris Hemsworth , Anna Hutchison , Fran Kranz",Horror
Repulsion,1965,95,Roman Polanski,"Catherine Deneuve , Yvonne Furneaux , Ian Hendry , John Fraser",Horror
Eyes Without a Face,1959,96,Georges Franju,"Pierre Brasseur , Alida Valli , Édith Scob , Juliette Mayniel",Horror
Rosemary's Baby,1968,96,Roman Polanski,"Mia Farrow , John Cassavetes , Ruth Gordon , Sidney Blackmer",Horror
Halloween,1978,96,John Carpenter,"Donald Pleasence , Jamie Lee Curtis , Nancy Loomis , P.J. Soles",Horror
The Silence of the Lambs,1991,95,Jonathan Demme,"Jodie Foster , Anthony Hopkins , Scott Glenn , Ted Levine",Horror
The Invisible Man,1933,94,James Whale,"Claude Rains , Gloria Stuart , Henry Travers , William Harrigan",Horror
Aliens,1986,98,James Cameron,"Sigourney Weaver , Carrie Henn , Michael Biehn , Paul Reiser",Horror
Night of the Living Dead,1968,96,George A. Romero,"Duane Jones , Judith O'Dea , Karl Hardman , Keith Wayne",Horror
Freaks,1932,95,Tod Browning,"Wallace Ford , Olga Baclanova , Leila Hyams , Roscoe Ates",Horror
It Follows,2014,95,David Robert Mitchell,"Maika Monroe , Keir Gilchrist , Daniel Zovatto , Jake Weary",Horror
Let the Right One In,2008,98,Tomas Alfredson,"Kåre Hedebrant , Lina Leandersson , Per Ragnar , Henrik Dahl",Horror
Hereditary,2018,90,Ari Aster,"Toni Collette , Gabriel Byrne , Alex Wolff , Ann Dowd",Horror
Vampyr,1932,98,Carl Theodor Dreyer,"Julian West , Henriette Gérard , Jan Hieronimko , Maurice Schutz",Horror
Invasion of the Body Snatchers,1956,98,Don Siegel,"Kevin McCarthy , Dana Wynter , Carolyn Jones , Larry Gates",Horror
The Lighthouse,2019,90,Robert Eggers,"Robert Pattinson , Willem Dafoe , Valeriia Karaman , Logan Hawkes",Horror
Frankenstein,1931,100,James Whale,"Colin Clive , Mae Clarke , John Boles , Boris Karloff",Horror
The Babadook,2014,98,Jennifer Kent,"Essie Davis , Daniel Henshall , Noah Wiseman , Hayley McElhinney",Horror
Jaws,1975,97,Steven Spielberg,"Roy Scheider , Robert Shaw , Richard Dreyfuss , Lorraine Gary",Horror
Bride of Frankenstein,1935,98,James Whale,"Boris Karloff , Elsa Lanchester , Colin Clive , Valerie Hobson",Horror
A Quiet Place,2018,96,John Krasinski,"Emily Blunt , John Krasinski , Millicent Simmonds , Noah Jupe",Horror
The Invisible Man,2020,92,Leigh Whannell,"Elisabeth Moss , Oliver Jackson-Cohen , Aldis Hodge , Storm Reid",Horror
The Night of the Hunter,1955,93,Charles Laughton,"Robert Mitchum , Shelley Winters , Lillian Gish , Evelyn Varden",Horror
Nosferatu,1922,97,F.W. Murnau,"Max Schreck , Alexander Granach , Gustav von Wangenheim , Greta Schroeder",Horror
King Kong,1933,96,Merian C. Cooper,"Fay Wray , Bruce Cabot , Robert Armstrong , Frank Reicher",Horror
Alien,1979,98,Ridley Scott,"Tom Skerritt , Sigourney Weaver , John Hurt , Veronica Cartwright",Horror
Us,2019,93,Jordan Peele,"Lupita Nyong'o , Winston Duke , Elisabeth Moss , Tim Heidecker",Horror
The Cabinet of Dr. Caligari,1919,96,Robert Wiene,"Werner Krauss , Conrad Veidt , Lil Dagover , Friedrich Feher",Horror
Get Out,2017,98,Jordan Peele,"Daniel Kaluuya , Allison Williams , Catherine Keener , Bradley Whitford",Horror
Psycho,1960,96,Alfred Hitchcock,"Anthony Perkins , Janet Leigh , Vera Miles , John Gavin",Horror
